areaType,areaName,areaCode,date,newPillarOneTestsByPublishDate,newPillarTwoTestsByPublishDate,newPillarThreeTestsByPublishDate,newPillarFourTestsByPublishDate,newTestsByPublishDate,cumPillarOneTestsByPublishDate,cumPillarTwoTestsByPublishDate,cumPillarThreeTestsByPublishDate,cumPillarFourTestsByPublishDate,cumTestsByPublishDate
overview,United Kingdom,K02000001,2020-09-02,62197,119575,6078,15371,203221,6078093,8757106,1552662,1435488,17823349
overview,United Kingdom,K02000001,2020-09-01,49760,114598,3995,7334,175687,6015665,8637531,1546584,1420117,17619897
overview,United Kingdom,K02000001,2020-08-31,39267,119287,1420,21960,181934,5966038,8522933,1542589,1412783,17444343
overview,United Kingdom,K02000001,2020-08-30,41083,125788,759,14435,182065,5926771,8403646,1541169,1390823,17262409
overview,United Kingdom,K02000001,2020-08-29,44361,126213,2309,10627,183510,5885688,8277858,1540410,1376388,17080344
overview,United Kingdom,K02000001,2020-08-28,53267,115417,6886,21641,197211,5841327,8151645,1538101,1365761,16896834
overview,United Kingdom,K02000001,2020-08-27,54836,123367,6994,18219,203416,5788060,8035569,1531215,1344120,16698964
overview,United Kingdom,K02000001,2020-08-26,58643,125818,6138,18236,208835,5732837,7900579,1524132,1325901,16483449
overview,United Kingdom,K02000001,2020-08-25,59359,103799,5682,17660,186500,5672807,7774761,1517976,1307665,16273209
overview,United Kingdom,K02000001,2020-08-24,43696,93317,3996,12384,153393,5613279,7649983,1512294,1290005,16065561
overview,United Kingdom,K02000001,2020-08-23,41150,114721,821,18517,175209,5569570,7556666,1508298,1277621,15912155
overview,United Kingdom,K02000001,2020-08-22,49830,121555,3195,6875,181455,5527808,7441945,1507477,1259104,15736334
overview,United Kingdom,K02000001,2020-08-21,56061,124274,7455,3570,191360,5477978,7320390,1504282,1252229,15554879
overview,United Kingdom,K02000001,2020-08-20,55361,115266,6590,6716,183933,5421917,7196116,1496724,1248659,15363416
overview,United Kingdom,K02000001,2020-08-19,59626,116290,5838,8680,190434,5365745,7080850,1488710,1241960,15177265
overview,United Kingdom,K02000001,2020-08-18,59427,93798,5575,4210,163010,5306149,6966008,1482697,1233280,14988134
overview,United Kingdom,K02000001,2020-08-17,44720,95888,3910,5656,150174,5246714,6872210,1477057,1229070,14825051
overview,United Kingdom,K02000001,2020-08-16,42216,120040,1132,5888,169276,5201976,6776322,1473129,1223414,14674841
overview,United Kingdom,K02000001,2020-08-15,52233,122681,2481,5592,182987,5157816,6656282,1472093,1217454,14503645
overview,United Kingdom,K02000001,2020-08-14,53832,113927,6630,3568,177957,5105583,6533601,1469575,1211862,14320621
overview,United Kingdom,K02000001,2020-08-13,54444,104989,6315,4109,169857,5051751,6419674,1462945,1208366,14142736
overview,United Kingdom,K02000001,2020-08-12,58702,109281,6054,10407,184444,4996120,6314685,1456630,1204077,13971512
overview,United Kingdom,K02000001,2020-08-11,56755,90779,5978,12799,166311,4935810,6205404,1450576,1193507,13785297
overview,United Kingdom,K02000001,2020-08-10,44983,90844,3961,24273,164061,4878926,6114625,1444531,1180388,13618470
overview,United Kingdom,K02000001,2020-08-09,43726,109488,1246,11747,166207,4833679,6023445,1440570,1155667,13453361
overview,United Kingdom,K02000001,2020-08-08,49344,97482,2598,15752,165176,4789417,5913957,1439143,1143845,13286362
overview,United Kingdom,K02000001,2020-08-07,54094,102046,5614,20110,181864,4740073,5816475,1436545,1127998,13121091
overview,United Kingdom,K02000001,2020-08-06,59113,103600,6272,16995,185980,4685979,5714429,1430931,1107641,12938980
overview,United Kingdom,K02000001,2020-08-05,59374,93177,6564,15404,174519,4626141,5610829,1424659,1086414,12748043
overview,United Kingdom,K02000001,2020-08-04,56731,84014,6350,16327,163422,4565775,5517652,1418095,1070469,12571991
overview,United Kingdom,K02000001,2020-08-03,44861,78430,4537,30838,158666,4508349,5433638,1411407,1053752,12407146
overview,United Kingdom,K02000001,2020-08-02,44562,79526,1201,38497,163786,4463488,5355208,1406870,1025371,12250937
overview,United Kingdom,K02000001,2020-08-01,46229,84770,2628,28461,162088,4417700,5275682,1405668,976217,12075267
overview,United Kingdom,K02000001,2020-07-31,51120,95882,6893,36325,190220,4371471,5190912,1402811,947756,11912950
overview,United Kingdom,K02000001,2020-07-30,54365,99669,7844,44778,206656,4320354,5095030,1395918,911431,11722733
overview,United Kingdom,K02000001,2020-07-29,55197,88122,7688,14473,165480,4265628,4995361,1388010,866653,11515652
overview,United Kingdom,K02000001,2020-07-28,55096,75515,7128,17207,154946,4210244,4907239,1380320,852180,11349983
overview,United Kingdom,K02000001,2020-07-27,43402,38863,5281,11544,99090,4155149,4831724,1373192,834973,11195038
overview,United Kingdom,K02000001,2020-07-26,40977,63572,1623,7252,113424,4111747,4792861,1367911,823198,11095717
overview,United Kingdom,K02000001,2020-07-25,46013,88032,3107,5802,142954,4068747,4729289,1366023,811877,10975936
overview,United Kingdom,K02000001,2020-07-24,48482,92297,9586,6864,157229,4022736,4641257,1362916,806075,10832984
overview,United Kingdom,K02000001,2020-07-23,51129,83164,9698,8142,152133,3973719,4548960,1353286,799211,10675176
overview,United Kingdom,K02000001,2020-07-22,54435,77027,9391,6742,147595,3922601,4465796,1343588,791069,10523054
overview,United Kingdom,K02000001,2020-07-21,52480,69214,9532,11333,142559,3868166,4388769,1334197,784327,10375459
overview,United Kingdom,K02000001,2020-07-20,43230,40863,7716,9932,101741,3815687,4319555,1324665,772994,10232901
overview,United Kingdom,K02000001,2020-07-19,39747,62825,1720,16676,120968,3771479,4278692,1316883,763062,10130116
overview,United Kingdom,K02000001,2020-07-18,42558,89139,3946,4750,140393,3731733,4215866,1315163,746386,10009148
overview,United Kingdom,K02000001,2020-07-17,49443,107813,12556,7813,177625,3689175,4126728,1311040,741636,9868579
overview,United Kingdom,K02000001,2020-07-16,50434,98781,13777,2974,165966,3639292,4018915,1298484,733823,9690514
overview,United Kingdom,K02000001,2020-07-15,53790,75826,13532,8915,152063,3588561,3920134,1284707,730849,9524251
overview,United Kingdom,K02000001,2020-07-14,53820,58675,13434,6192,132121,3531286,3844308,1271175,721934,9368703
overview,United Kingdom,K02000001,2020-07-13,41340,33420,11241,11402,97403,3477000,3785633,1257311,715742,9235686
overview,United Kingdom,K02000001,2020-07-12,34930,51679,2822,12496,101927,3436603,3752213,1246070,704340,9139226
overview,United Kingdom,K02000001,2020-07-11,46023,78071,8148,2648,134890,3401296,3700534,1243248,691595,9036673
overview,United Kingdom,K02000001,2020-07-10,47258,80867,18619,8120,154864,3355273,3622463,1234887,688947,8901570
overview,United Kingdom,K02000001,2020-07-09,47426,84422,21715,8233,161796,3307912,3541596,1216268,680827,8746603
overview,United Kingdom,K02000001,2020-07-08,51027,69291,22147,10627,153092,3260306,3457174,1194553,672594,8584627
overview,United Kingdom,K02000001,2020-07-07,49319,51370,18050,7499,126238,3209459,3387883,1172356,661928,8431626
overview,United Kingdom,K02000001,2020-07-06,40321,23212,15750,15001,94284,3160140,3336513,1154020,654359,8305032
overview,United Kingdom,K02000001,2020-07-05,37602,39382,3527,16804,97315,3119819,3313301,1138066,639186,8210372
overview,United Kingdom,K02000001,2020-07-04,40466,52707,10282,22645,126100,3081496,3273919,1134075,622187,8111677
overview,United Kingdom,K02000001,2020-07-03,46818,67360,30553,27835,172566,3040901,3221213,1123615,599542,7985271
overview,United Kingdom,K02000001,2020-07-02,46473,65657,27525,29604,169259,2993828,3153853,1092830,571707,7812218
overview,United Kingdom,K02000001,2020-07-01,49258,63378,29401,15094,157131,2947392,3088196,1066325,541918,7643831
overview,United Kingdom,K02000001,2020-06-30,47474,49893,26622,20798,144787,2897765,3024818,1036898,526804,7486285
overview,United Kingdom,K02000001,2020-06-29,39169,23403,22559,20253,105384,2850314,2974925,1010203,496544,7331986
overview,United Kingdom,K02000001,2020-06-28,30656,33797,5928,19848,90229,2808681,2951522,987644,460799,7208646
overview,United Kingdom,K02000001,2020-06-27,40854,50043,14929,11915,117741,2777265,2917725,981256,433568,7109814
overview,United Kingdom,K02000001,2020-06-26,43839,49553,35711,15825,144928,2736411,2867682,966327,421653,6992073
overview,United Kingdom,K02000001,2020-06-25,42153,51020,36438,25565,155176,2692572,2818129,930616,405828,6847145
overview,United Kingdom,K02000001,2020-06-24,43620,44420,36102,16161,140303,2629977,2743980,894195,380263,6648415
overview,United Kingdom,K02000001,2020-06-23,45784,20972,35006,28918,130680,2586357,2699560,857323,364102,6507342
overview,United Kingdom,K02000001,2020-06-22,36984,22958,26084,16931,102957,2540573,2678588,822058,343330,6384549
overview,United Kingdom,K02000001,2020-06-21,29457,27645,9902,9510,76514,2500489,2655630,795915,326398,6278432
overview,United Kingdom,K02000001,2020-06-20,36118,44446,20426,16981,117971,2470849,2627985,786013,316888,6201735
overview,United Kingdom,K02000001,2020-06-19,40640,46551,41155,5189,133535,2434449,2583539,764585,299907,6082480
overview,United Kingdom,K02000001,2020-06-18,41620,44959,44895,4380,135854,2393809,2536988,722961,294718,5948476
overview,United Kingdom,K02000001,2020-06-17,43035,40829,44082,3685,131631,2348319,2492029,678176,290338,5808862
overview,United Kingdom,K02000001,2020-06-16,42540,36422,39895,3578,122435,2305284,2451200,632146,286653,5675283
overview,United Kingdom,K02000001,2020-06-15,35711,32097,28186,5343,101337,2262744,2414778,592204,283075,5552801
overview,United Kingdom,K02000001,2020-06-14,30700,35988,13452,3825,83965,2227033,2382681,562314,277732,5449760
overview,United Kingdom,K02000001,2020-06-13,37983,58061,21337,3028,120409,2195481,2346693,548794,273907,5364875
overview,United Kingdom,K02000001,2020-06-12,40426,54790,46952,4931,147099,2156643,2288632,525020,270879,5241174
overview,United Kingdom,K02000001,2020-06-11,40058,58855,46491,3940,149344,2115412,2233842,477493,265948,5092695
overview,United Kingdom,K02000001,2020-06-10,43200,54652,42979,4678,145509,2074094,2174987,430461,262008,4941550
overview,United Kingdom,K02000001,2020-06-09,43052,48554,37147,4349,133102,2030819,2120335,386984,257330,4795468
overview,United Kingdom,K02000001,2020-06-08,32206,34563,27978,3698,98445,1987767,2071781,349578,252981,4662107
overview,United Kingdom,K02000001,2020-06-07,30792,52998,16694,3638,104122,1955561,2001765,320871,249283,4527480
overview,United Kingdom,K02000001,2020-06-06,35636,54926,22720,4299,117581,1924659,1948767,303264,245645,4422335
overview,United Kingdom,K02000001,2020-06-05,37693,60974,41619,4723,145009,1888571,1893841,280524,241346,4304282
overview,United Kingdom,K02000001,2020-06-04,39593,55852,42899,5880,144224,1849908,1832867,238522,236014,4157311
overview,United Kingdom,K02000001,2020-06-03,39735,56939,40385,6384,143443,1810315,1777015,194467,230134,4011931
overview,United Kingdom,K02000001,2020-06-02,38163,48104,36013,6903,129183,1770451,1720076,155344,223750,3869621
overview,United Kingdom,K02000001,2020-06-01,29998,34765,30357,6451,101571,1731901,1671972,119088,216847,3739808
overview,United Kingdom,K02000001,2020-05-31,27520,47743,23110,7061,105434,1701944,1637207,88731,210396,3638278
overview,United Kingdom,K02000001,2020-05-30,31755,58112,,7520,97387,1674424,1589464,,202450,3466338
overview,United Kingdom,K02000001,2020-05-29,37085,58465,,11002,106552,1642666,1531352,,194930,3368948
overview,United Kingdom,K02000001,2020-05-28,37933,46701,,18100,102734,1605581,1472887,,183928,3262396
overview,United Kingdom,K02000001,2020-05-27,35670,34659,,12685,83014,1567647,1426186,,165828,3159661
overview,United Kingdom,K02000001,2020-05-26,29708,34057,,14334,78099,1531977,1391527,,153141,3076645
overview,United Kingdom,K02000001,2020-05-25,26780,42601,,9097,78478,1502093,1357470,,138807,2998370
overview,United Kingdom,K02000001,2020-05-24,27475,24369,,7789,59633,1475312,1247364,,127256,2849932
overview,United Kingdom,K02000001,2020-05-23,32230,47672,,12410,92312,1447834,1222995,,119467,2790296
overview,United Kingdom,K02000001,2020-05-22,35915,48145,,8083,92143,1415607,1175323,,107057,2697987
overview,United Kingdom,K02000001,2020-05-21,37728,55670,,14521,107919,1379691,1127178,,98974,2605843
overview,United Kingdom,K02000001,2020-05-20,38296,43107,,6416,87819,1341954,1071508,,84453,2497915
overview,United Kingdom,K02000001,2020-05-19,35196,44457,,8473,88126,1303659,1028401,,78037,2410097
overview,United Kingdom,K02000001,2020-05-18,28835,34193,,9504,72532,1273612,987076,,69564,2330252
overview,United Kingdom,K02000001,2020-05-17,24746,50544,,6851,82141,1244725,952883,,60060,2257668
overview,United Kingdom,K02000001,2020-05-16,31549,56713,,5091,93353,1219979,902339,,53209,2175527
overview,United Kingdom,K02000001,2020-05-15,37324,50722,,5888,93934,1188430,845626,,48118,2082174
overview,United Kingdom,K02000001,2020-05-14,32207,49388,,3571,85166,1151107,794904,,40182,1986193
overview,United Kingdom,K02000001,2020-05-13,31828,48885,,2759,83472,1118887,745516,,36611,1901014
overview,United Kingdom,K02000001,2020-05-12,32077,40291,,2491,74859,1086365,696631,,33852,1816848
overview,United Kingdom,K02000001,2020-05-11,25462,41654,,3244,70360,1054288,656340,,31361,1741989
overview,United Kingdom,K02000001,2020-05-10,26327,47214,,3401,76942,1028743,614686,,28117,1671546
overview,United Kingdom,K02000001,2020-05-09,28412,46174,,2616,77202,1002416,567472,,24716,1594604
overview,United Kingdom,K02000001,2020-05-08,32492,42344,,3056,77892,974004,521298,,22100,1517402
overview,United Kingdom,K02000001,2020-05-07,33588,43153,,2171,78912,941508,478954,,19044,1439506
overview,United Kingdom,K02000001,2020-05-06,32667,40610,,1484,74761,907921,435801,,16873,1360595
overview,United Kingdom,K02000001,2020-05-05,32350,33453,,1641,67444,875253,392801,,15389,1283443
overview,United Kingdom,K02000001,2020-05-04,26866,44898,,1304,73068,842903,359348,,18513,1220764
overview,United Kingdom,K02000001,2020-05-03,25867,42336,,614,68817,814140,314450,,12136,1140726
overview,United Kingdom,K02000001,2020-05-02,28052,35507,,0,63559,788273,272114,,11522,1071909
overview,United Kingdom,K02000001,2020-05-01,39095,35047,,751,74893,760219,236607,,11522,1008348
overview,United Kingdom,K02000001,2020-04-30,39753,43390,,1072,84215,721124,201560,,10771,933455
overview,United Kingdom,K02000001,2020-04-29,32150,33493,,1150,66793,681371,158226,,9699,849296
overview,United Kingdom,K02000001,2020-04-28,23648,21615,,242,45505,647084,124733,,8549,780366
overview,United Kingdom,K02000001,2020-04-27,16440,15013,,1834,33287,623435,103118,,8307,734860
overview,United Kingdom,K02000001,2020-04-26,17968,13642,,0,31610,606882,88105,,6473,701460
overview,United Kingdom,K02000001,2020-04-25,17939,11119,,0,29058,588914,74463,,6473,669850
overview,United Kingdom,K02000001,2020-04-24,21981,6244,,535,28760,570975,63344,,6473,640792
overview,United Kingdom,K02000001,2020-04-23,20365,7659,,508,28532,548993,57100,,5938,612031
overview,United Kingdom,K02000001,2020-04-22,20088,2985,,487,23560,528625,49441,,5430,583496
overview,United Kingdom,K02000001,2020-04-21,20063,2700,,51,22814,508536,46456,,4943,559935
overview,United Kingdom,K02000001,2020-04-20,14908,2457,,605,17970,488473,43756,,4892,537121
overview,United Kingdom,K02000001,2020-04-19,13460,5856,,0,19316,455793,41299,,4287,501379
overview,United Kingdom,K02000001,2020-04-18,16460,4789,,377,21626,442333,35443,,4287,482063
overview,United Kingdom,K02000001,2020-04-17,17308,3773,,308,21389,425873,30654,,3910,460437
overview,United Kingdom,K02000001,2020-04-16,17763,3143,,422,21328,408508,26881,,3602,438991
overview,United Kingdom,K02000001,2020-04-15,16166,2323,,176,18665,390731,23738,,3180,417649
overview,United Kingdom,K02000001,2020-04-14,13950,2041,,3,15994,374497,21415,,3004,398916
overview,United Kingdom,K02000001,2020-04-13,12081,2486,,415,14982,360275,19374,,3001,382650
overview,United Kingdom,K02000001,2020-04-12,12017,2489,,0,14506,348193,16888,,2586,367667
overview,United Kingdom,K02000001,2020-04-11,15020,2630,,350,18000,336176,14399,,2399,352974
overview,United Kingdom,K02000001,2020-04-10,15892,1845,,354,18091,321156,11769,,2049,334974
overview,United Kingdom,K02000001,2020-04-09,17188,1655,,273,19116,305217,9924,,1695,316836
overview,United Kingdom,K02000001,2020-04-08,15194,1249,,0,16443,288119,8628,,1422,298169
overview,United Kingdom,K02000001,2020-04-07,13266,1153,,4,14423,272925,7379,,1422,281726
overview,United Kingdom,K02000001,2020-04-06,12858,826,,91,13775,259659,6226,,1418,267303
overview,United Kingdom,K02000001,2020-04-05,11663,1070,,505,13238,246169,5400,,1327,252896
overview,United Kingdom,K02000001,2020-04-04,15103,796,,181,16080,234506,4330,,822,239658
overview,United Kingdom,K02000001,2020-04-03,13616,677,,336,14629,219403,3534,,641,223578
overview,United Kingdom,K02000001,2020-04-02,12854,603,,166,13623,179190,2857,,305,182352
overview,United Kingdom,K02000001,2020-04-01,11256,668,,23,11947,164844,2254,,139,167237
overview,United Kingdom,K02000001,2020-03-31,11267,629,,,11896,153588,1586,,,155174
